,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
863,Dleu2,9.18E-10,2.299552396,0.32,0.363,2.95E-05
864,Pde3b,1.21E-09,2.237494491,0.313,0.347,3.90E-05
865,Atf7ip,1.28E-09,0.602237792,0.306,0.267,4.12E-05
866,Galnt17,1.59E-09,15.80109201,0.348,0.319,5.11E-05
867,Erbb4,2.02E-09,315.2815978,0.418,0.407,6.49E-05
868,Camk2b,2.57E-09,4.974760058,0.315,0.283,8.27E-05
869,Baz2b,2.73E-09,1.83264216,0.525,0.482,8.78E-05
870,Ttc17,3.10E-09,2.766509308,0.301,0.264,9.97E-05
871,Rit2,3.23E-09,5.358876277,0.47,0.438,0.000103931
874,Slc44a1,6.87E-09,2.903960465,0.345,0.312,0.000221096
875,Bend6,1.25E-08,0.601733223,0.307,0.272,0.000400851
877,Gm4258,1.44E-08,17.51780857,0.375,0.341,0.000462948
879,Cacnb4,2.08E-08,39.71027018,0.617,0.684,0.000668922
880,Cep170,2.12E-08,1.359259736,0.336,0.301,0.000682833
881,Clip1,2.75E-08,0.690625561,0.328,0.294,0.000883071
882,Spop,3.10E-08,0.553370676,0.321,0.285,0.000997236
884,Kif1b,6.40E-08,10.16548115,0.666,0.642,0.002058273
885,Dgkd,7.35E-08,1.074180669,0.29,0.324,0.002364042
886,Pde4b,7.75E-08,46.92381948,0.702,0.758,0.002494341
888,Celf1,9.30E-08,8.440094943,0.468,0.442,0.002992094
889,Epc1,1.26E-07,0.528278996,0.315,0.283,0.004053633
890,Tcf4,1.27E-07,35.40851357,0.8,0.85,0.004070153
891,Lrrtm3,1.61E-07,22.4137987,0.613,0.653,0.005184031
892,Msra,4.33E-07,29.2766175,0.533,0.59,0.013922856
893,Srgap3,6.66E-07,10.84312846,0.554,0.537,0.021420485
894,Rims2,9.84E-07,64.05611136,0.835,0.848,0.031667571
