,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
353,Ttc19,2.26E-85,3.190590849,0.322,0.202,7.29E-81
354,Kcnc1,3.04E-85,3.212751768,0.285,0.41,9.78E-81
355,Rasgrf1,4.58E-85,9.986279506,0.415,0.298,1.47E-80
358,Ncoa1,1.43E-84,2.024985039,0.431,0.304,4.59E-80
359,Pde1c,1.97E-84,119.0289903,0.246,0.374,6.33E-80
360,Hivep3,5.28E-84,20.13535769,0.471,0.353,1.70E-79
361,Psmd14,1.11E-83,2.951367302,0.303,0.186,3.58E-79
362,Stox2,7.61E-83,13.85365683,0.382,0.257,2.45E-78
363,Cadm1,1.03E-82,68.5775799,0.643,0.577,3.30E-78
364,Atp11b,1.54E-82,4.769515763,0.399,0.282,4.94E-78
365,Srsf11,1.72E-82,2.19119789,0.415,0.293,5.52E-78
366,Vti1a,1.82E-82,24.735561,0.442,0.317,5.85E-78
367,Acaca,4.01E-82,20.67061734,0.372,0.247,1.29E-77
368,Kmt2a,4.04E-82,11.78392645,0.459,0.34,1.30E-77
369,Zmynd8,5.47E-82,1.407714752,0.395,0.273,1.76E-77
370,Ankrd12,1.77E-81,2.504885646,0.42,0.297,5.70E-77
372,Nalcn,5.85E-81,15.27128292,0.441,0.322,1.88E-76
373,Ndfip1,8.91E-81,3.513427971,0.342,0.229,2.87E-76
374,Car10,9.55E-81,41.08304656,0.676,0.815,3.07E-76
375,Mtf2,1.11E-80,2.496276514,0.302,0.188,3.57E-76
376,Ascc3,2.47E-80,1.135190605,0.356,0.237,7.94E-76
377,Megf11,3.57E-80,4.689587734,0.261,0.386,1.15E-75
378,Akap8l,4.87E-80,1.746698549,0.336,0.22,1.57E-75
379,Tnrc6a,5.02E-80,6.827758344,0.503,0.385,1.61E-75
381,Rbm25,6.29E-80,4.758564216,0.533,0.412,2.02E-75
382,Mapk10,2.50E-79,15.17191374,0.623,0.544,8.05E-75
383,Setd5,2.84E-79,3.428357775,0.501,0.379,9.14E-75
384,Plcl1,5.74E-79,2.226880511,0.335,0.207,1.85E-74
389,Sobp,2.45E-78,13.25402704,0.393,0.281,7.88E-74
392,Ylpm1,2.22E-77,1.876089806,0.392,0.275,7.14E-73
393,Kat6b,4.83E-77,5.829001286,0.363,0.248,1.56E-72
394,Btrc,6.28E-77,3.164918331,0.34,0.224,2.02E-72
395,Dis3l2,7.84E-77,2.378863134,0.305,0.192,2.52E-72
396,Rere,1.50E-76,5.257574084,0.704,0.617,4.83E-72
397,A330023F24Rik,4.28E-76,1.056453929,0.446,0.334,1.38E-71
398,Gls,4.53E-76,22.43387968,0.555,0.463,1.46E-71
400,Klhdc10,1.51E-75,1.843924378,0.422,0.304,4.85E-71
401,Strn3,3.95E-75,1.057019564,0.538,0.428,1.27E-70
402,Stxbp5,4.19E-75,9.516091907,0.382,0.27,1.35E-70
405,Tom1l2,6.87E-75,0.928482991,0.378,0.261,2.21E-70
406,Pde4dip,9.63E-75,3.590250688,0.45,0.342,3.10E-70
407,Ints6,1.00E-74,3.08758817,0.314,0.203,3.22E-70
409,Myef2,2.79E-74,0.542207951,0.343,0.231,8.97E-70
410,Grin1,4.71E-74,1.074303909,0.53,0.432,1.51E-69
411,Chd6,8.84E-74,3.477846048,0.429,0.309,2.84E-69
412,Esyt2,1.59E-73,8.530494372,0.364,0.252,5.11E-69
413,Umad1,1.76E-73,2.296023019,0.303,0.192,5.66E-69
415,Ralgapb,6.51E-73,1.861688564,0.302,0.193,2.10E-68
416,Map2,8.06E-73,15.13935025,0.601,0.511,2.59E-68
417,Apbb2,3.74E-72,15.32259313,0.419,0.304,1.20E-67
419,Cspp1,1.40E-71,2.011605709,0.394,0.279,4.51E-67
420,Celf4,1.80E-71,20.98549907,0.532,0.449,5.80E-67
422,Ddx50,4.23E-71,3.778245614,0.322,0.214,1.36E-66
423,Usp9x,4.71E-71,5.810047538,0.441,0.332,1.52E-66
424,Clk1,6.23E-71,1.812234777,0.39,0.279,2.00E-66
425,Adam23,7.36E-71,5.113382279,0.394,0.287,2.37E-66
426,Ndst3,1.60E-70,1.871557141,0.357,0.482,5.13E-66
427,Ptprt,4.69E-70,22.42419754,0.428,0.319,1.51E-65
428,Faf1,3.24E-69,3.596147888,0.509,0.401,1.04E-64
430,Slc9a9,4.87E-69,4.371020861,0.301,0.197,1.57E-64
431,Nt5c2,1.17E-68,6.228575694,0.329,0.218,3.76E-64
432,Mast2,1.53E-68,2.889036922,0.333,0.224,4.91E-64
433,Sphkap,2.52E-68,9.929136091,0.438,0.555,8.11E-64
434,Mctp1,2.77E-68,13.797485,0.58,0.687,8.91E-64
435,Plekha5,3.75E-68,21.78623264,0.554,0.47,1.20E-63
436,Nav2,6.39E-68,26.75227657,0.677,0.609,2.05E-63
437,Cadm2,7.50E-68,179.6779487,0.932,0.938,2.41E-63
438,Ablim1,1.81E-67,1.140617419,0.525,0.631,5.81E-63
439,Arfgef1,2.41E-67,1.945926708,0.356,0.247,7.74E-63
440,Dmxl2,2.79E-67,5.618302531,0.387,0.281,8.97E-63
442,Tmeff2,3.96E-67,84.46007038,0.546,0.447,1.27E-62
443,Dnmt3a,6.08E-67,1.333287111,0.398,0.29,1.96E-62
444,Clstn2,8.16E-67,52.62547324,0.396,0.299,2.62E-62
445,Cntn1,9.06E-67,18.08368067,0.638,0.552,2.91E-62
446,Ktn1,1.30E-66,2.682088685,0.467,0.357,4.19E-62
447,Zmym2,1.58E-66,2.96176798,0.342,0.234,5.08E-62
448,Snap91,2.64E-66,3.555697439,0.511,0.412,8.48E-62
449,Syt1,7.21E-66,67.15733654,0.748,0.769,2.32E-61
450,Wscd2,7.56E-66,0.508149988,0.228,0.331,2.43E-61
451,Rsrc1,1.27E-65,5.801734871,0.302,0.196,4.08E-61
452,Polb,2.84E-65,0.713887854,0.421,0.311,9.13E-61
453,Scaper,3.32E-65,1.38565997,0.401,0.292,1.07E-60
454,Map2k4,4.79E-65,3.6047832,0.425,0.322,1.54E-60
455,Trpm7,6.34E-65,0.546360361,0.444,0.333,2.04E-60
456,Bcas3,1.09E-64,24.59371111,0.468,0.354,3.52E-60
457,Nsd2,4.02E-64,0.71475387,0.332,0.226,1.29E-59
458,Dmxl1,4.24E-64,59.71089833,0.527,0.426,1.36E-59
459,Mical3,1.06E-63,10.15180837,0.421,0.321,3.41E-59
460,Aopep,1.32E-63,19.00421716,0.402,0.302,4.26E-59
462,Tmem135,5.59E-63,1.705564233,0.347,0.241,1.80E-58
463,Dennd1b,7.92E-63,4.474149545,0.308,0.206,2.55E-58
464,Ralgps1,9.71E-63,2.285923971,0.382,0.277,3.12E-58
465,Cntn4,1.02E-62,77.23824883,0.617,0.57,3.28E-58
466,Gnaq,2.16E-62,3.572166325,0.544,0.443,6.94E-58
467,Atp6v0b,4.48E-62,2.380259071,0.485,0.393,1.44E-57
468,St7,4.86E-62,4.790013218,0.318,0.217,1.56E-57
469,Gabbr2,6.22E-62,26.73995702,0.432,0.346,2.00E-57
470,Cop1,2.62E-61,0.599523288,0.31,0.209,8.43E-57
471,Scaf8,3.31E-61,1.402984633,0.423,0.317,1.06E-56
472,Ksr2,5.82E-61,3.033447542,0.383,0.281,1.87E-56
473,Zfp638,6.59E-61,5.929478259,0.481,0.374,2.12E-56
474,Fubp1,1.07E-60,2.995665564,0.418,0.315,3.45E-56
476,Map1b,2.25E-60,5.135369738,0.494,0.409,7.24E-56
477,Arid4b,3.76E-60,0.54644286,0.396,0.291,1.21E-55
478,Gpm6b,4.25E-60,5.995261884,0.367,0.259,1.37E-55
480,Atp6v0a1,6.83E-60,1.5537444,0.392,0.292,2.20E-55
482,Nr3c2,1.28E-59,30.8358375,0.366,0.264,4.12E-55
483,Dnajc6,1.57E-59,5.96732402,0.469,0.374,5.05E-55
485,Gmds,2.49E-59,5.514646822,0.316,0.216,8.03E-55
489,Pbrm1,1.64E-58,1.218434086,0.3,0.201,5.27E-54
490,Fto,1.92E-58,2.335943234,0.462,0.356,6.17E-54
492,Cdkl5,2.23E-58,2.672957214,0.315,0.221,7.16E-54
493,Asb3,2.91E-58,1.941817594,0.304,0.207,9.37E-54
494,Tnrc6b,3.53E-58,7.807502083,0.59,0.498,1.14E-53
495,5330434G04Rik,6.96E-58,3.15885402,0.395,0.303,2.24E-53
497,Zfpm2,5.15E-57,28.87992945,0.517,0.648,1.66E-52
498,Spag9,6.66E-57,8.121249369,0.551,0.452,2.14E-52
499,Atp1b1,8.91E-57,2.338324729,0.368,0.272,2.87E-52
500,Pnisr,1.66E-56,1.561636847,0.553,0.453,5.35E-52
501,Limch1,2.24E-56,23.8656263,0.464,0.365,7.21E-52
502,Rapgef2,5.38E-56,32.89726942,0.402,0.312,1.73E-51
503,Arhgef12,6.78E-56,6.706832829,0.444,0.341,2.18E-51
504,Sltm,7.58E-56,2.317269331,0.401,0.301,2.44E-51
505,Ccny,1.02E-55,2.02977859,0.318,0.221,3.29E-51
506,Smg6,1.37E-55,7.37450329,0.428,0.325,4.41E-51
507,Gsk3b,1.61E-55,3.118629345,0.433,0.333,5.17E-51
508,Hecw2,4.95E-55,26.15222479,0.561,0.474,1.59E-50
509,A330076H08Rik,6.93E-55,11.27991312,0.554,0.467,2.23E-50
510,Osbpl8,8.34E-55,13.88938995,0.324,0.232,2.68E-50
511,Kmt2e,8.90E-55,8.441862655,0.545,0.449,2.86E-50
512,Ppp2r3a,9.58E-55,5.249903729,0.339,0.239,3.08E-50
513,Atp2b1,1.09E-54,5.111927135,0.49,0.42,3.50E-50
514,Nbeal1,1.47E-54,10.2699201,0.401,0.302,4.74E-50
515,Enox1,4.20E-54,9.474019543,0.504,0.415,1.35E-49
516,Galnt13,4.91E-54,8.07061555,0.699,0.763,1.58E-49
517,Pcsk2,9.39E-54,56.8412748,0.562,0.524,3.02E-49
519,C2cd5,1.32E-53,3.618260642,0.398,0.302,4.26E-49
520,Pafah1b1,1.37E-53,5.934917098,0.514,0.42,4.42E-49
521,Runx1t1,1.71E-53,12.01567435,0.306,0.216,5.51E-49
522,Nckap1,2.53E-53,5.243819888,0.422,0.324,8.13E-49
523,Krit1,4.72E-53,1.154452293,0.386,0.289,1.52E-48
524,Anks1b,6.56E-53,90.2306816,0.843,0.848,2.11E-48
525,Psme4,8.86E-53,7.164690742,0.474,0.379,2.85E-48
526,Zmynd11,1.01E-52,0.707120833,0.403,0.306,3.24E-48
527,Gpatch8,1.50E-52,6.208306946,0.603,0.526,4.81E-48
528,Nfat5,1.92E-52,1.375446069,0.44,0.339,6.18E-48
529,Sh3gl2,1.94E-52,8.030718353,0.583,0.666,6.23E-48
530,Ppp1r12b,2.10E-52,1.073974611,0.39,0.295,6.76E-48
532,Atp1a3,3.08E-52,9.108674471,0.305,0.216,9.91E-48
534,Akap9,3.52E-52,7.480913648,0.347,0.252,1.13E-47
535,Ddx17,9.61E-52,2.843782505,0.469,0.372,3.09E-47
540,Adk,4.84E-51,14.65316411,0.315,0.22,1.56E-46
541,Ube3c,6.54E-51,11.3497281,0.36,0.266,2.10E-46
542,Ppm1h,1.32E-50,10.99990222,0.38,0.283,4.25E-46
543,Zfp385b,1.49E-50,36.85227974,0.607,0.713,4.78E-46
545,Pcdh9,2.44E-50,78.72922948,0.924,0.945,7.85E-46
547,Ubr5,3.00E-50,10.70277849,0.443,0.347,9.65E-46
548,Cpeb4,3.24E-50,24.73641435,0.383,0.294,1.04E-45
549,Zzef1,5.14E-50,4.673235142,0.307,0.216,1.65E-45
550,Gphn,5.41E-50,9.439937341,0.808,0.752,1.74E-45
552,Rapgef6,5.86E-50,4.902143447,0.416,0.325,1.89E-45
553,Lrrc4c,6.25E-50,41.17922824,0.849,0.845,2.01E-45
554,Nfasc,7.21E-50,70.55451226,0.386,0.294,2.32E-45
555,Ubn2,7.48E-50,6.487539214,0.528,0.439,2.41E-45
556,9930021J03Rik,1.28E-49,0.679417112,0.342,0.248,4.11E-45
557,Zfyve9,1.39E-49,9.484583646,0.392,0.3,4.46E-45
559,Aak1,2.92E-49,0.806878315,0.531,0.449,9.38E-45
560,Clasp1,3.85E-49,3.991914272,0.34,0.249,1.24E-44
561,Rictor,7.35E-49,2.1529253,0.323,0.232,2.37E-44
562,Tmcc1,8.78E-49,3.655236381,0.528,0.437,2.82E-44
564,Huwe1,9.46E-49,6.141092295,0.537,0.443,3.04E-44
565,Rbm5,1.12E-48,2.094611712,0.368,0.277,3.61E-44
566,Grik2,1.57E-48,15.21070864,0.844,0.9,5.04E-44
567,Rfx7,1.68E-48,3.224472237,0.421,0.33,5.39E-44
568,Fam13b,1.89E-48,1.109601037,0.316,0.225,6.08E-44
570,Rfx3,3.32E-48,20.98143216,0.419,0.329,1.07E-43
571,Pias1,3.83E-48,0.934326966,0.31,0.22,1.23E-43
572,Ddx5,4.32E-48,7.946097733,0.648,0.732,1.39E-43
574,Cacna1e,6.34E-48,16.76632576,0.508,0.447,2.04E-43
575,Adcy9,8.31E-48,3.514873068,0.33,0.244,2.67E-43
577,Rev3l,1.48E-47,3.665190873,0.488,0.395,4.75E-43
579,Ash1l,4.81E-47,2.495078392,0.451,0.36,1.55E-42
581,7-Sep,2.40E-46,11.79692331,0.398,0.3,7.74E-42
582,Sptan1,3.46E-46,4.718183897,0.468,0.386,1.11E-41
584,Grm1,6.18E-46,61.37695881,0.502,0.607,1.99E-41
585,Arfgef3,6.61E-46,10.38281566,0.343,0.259,2.13E-41
586,Med12l,7.79E-46,11.22727645,0.41,0.321,2.51E-41
587,Fars2,8.93E-46,19.51636378,0.316,0.23,2.87E-41
588,Ewsr1,1.18E-45,2.412162814,0.365,0.277,3.81E-41
589,R3hdm2,1.24E-45,7.115085645,0.419,0.334,3.99E-41
590,Thoc2,1.38E-45,1.480527891,0.374,0.285,4.44E-41
591,Ptpn4,1.85E-45,31.15707119,0.415,0.322,5.95E-41
592,Dennd5b,1.96E-45,5.595197986,0.378,0.294,6.32E-41
593,Fgfr2,2.31E-45,55.54944231,0.494,0.4,7.43E-41
594,Ube2g1,4.31E-45,1.043789635,0.318,0.231,1.39E-40
595,Diaph2,5.94E-45,2.702033117,0.485,0.399,1.91E-40
596,Trio,6.00E-45,11.87708831,0.541,0.463,1.93E-40
598,Neo1,1.29E-44,0.833091383,0.332,0.242,4.14E-40
600,Sfpq,1.40E-44,1.176129623,0.425,0.339,4.51E-40
601,Snx29,2.78E-44,4.066975133,0.303,0.219,8.94E-40
602,Aff4,2.87E-44,2.498694654,0.409,0.322,9.23E-40
604,Rsf1,4.78E-44,3.37153775,0.344,0.257,1.54E-39
605,Btbd9,5.04E-44,10.11135796,0.541,0.469,1.62E-39
606,Pkn2,7.12E-44,1.453905436,0.343,0.256,2.29E-39
610,Iqsec1,3.84E-43,15.95313506,0.424,0.342,1.24E-38
611,Trhde,4.37E-43,20.98150503,0.423,0.528,1.41E-38
612,5330438D12Rik,1.01E-42,0.681699352,0.354,0.27,3.25E-38
613,Papola,1.31E-42,1.797243228,0.374,0.289,4.21E-38
614,Numb,3.19E-42,2.612849036,0.348,0.268,1.03E-37
615,Ncald,4.11E-42,85.36176676,0.394,0.316,1.32E-37
616,Rap1gds1,4.13E-42,11.33960024,0.323,0.243,1.33E-37
617,Ankrd11,5.82E-42,4.134698924,0.45,0.366,1.87E-37
618,Brinp3,6.52E-42,53.70979518,0.508,0.457,2.10E-37
619,Cyfip2,1.21E-41,2.477063173,0.329,0.251,3.90E-37
620,Sbno1,1.34E-41,1.438957745,0.308,0.227,4.33E-37
621,Mark3,1.48E-41,4.06483048,0.39,0.305,4.77E-37
623,Hook3,2.32E-41,0.954732926,0.329,0.244,7.48E-37
624,Nedd4,2.51E-41,2.273618697,0.423,0.337,8.08E-37
625,Zfp148,2.68E-41,6.595649666,0.378,0.292,8.63E-37
627,Mef2a,6.02E-41,8.841103373,0.399,0.313,1.94E-36
628,Syne1,7.46E-41,2.226465406,0.822,0.849,2.40E-36
629,Arih1,8.32E-41,9.737297495,0.465,0.381,2.68E-36
631,Susd6,9.22E-41,3.006144616,0.29,0.374,2.97E-36
632,Oxct1,1.84E-40,6.178938087,0.361,0.279,5.92E-36
633,Elavl3,3.35E-40,0.620427385,0.457,0.376,1.08E-35
634,Unc80,3.97E-40,10.81936692,0.608,0.554,1.28E-35
635,Ubap2l,4.03E-40,0.698977162,0.306,0.227,1.30E-35
637,Ube2b,1.49E-39,0.768841343,0.404,0.323,4.79E-35
638,Dop1a,1.49E-39,0.570727508,0.329,0.248,4.80E-35
639,Sorbs1,2.05E-39,17.54036158,0.469,0.388,6.59E-35
640,Dlgap1,2.41E-39,158.0375253,0.843,0.84,7.74E-35
642,Atp8a1,3.84E-39,38.68858887,0.503,0.427,1.23E-34
644,Peak1,1.32E-38,2.940546725,0.285,0.365,4.26E-34
645,Hmgcll1,1.43E-38,5.319500871,0.307,0.229,4.59E-34
646,Nrd1,1.65E-38,4.713797784,0.308,0.229,5.30E-34
647,Map7,2.24E-38,19.26581147,0.358,0.273,7.20E-34
648,Pten,2.97E-38,5.180742559,0.372,0.293,9.55E-34
649,Rev1,6.99E-38,1.009667667,0.345,0.265,2.25E-33
650,Pak7,1.32E-37,24.02146711,0.451,0.379,4.24E-33
651,Chd2,1.68E-37,6.732661101,0.407,0.324,5.41E-33
653,Sfswap,4.93E-37,1.477269587,0.311,0.234,1.59E-32
654,Senp7,6.18E-37,0.874942588,0.342,0.263,1.99E-32
655,Abcc5,9.03E-37,2.747219782,0.354,0.276,2.90E-32
656,Zfp407,1.17E-36,2.646217924,0.301,0.225,3.77E-32
657,Cdk13,1.28E-36,2.586694957,0.399,0.317,4.11E-32
658,Slc2a13,1.98E-36,48.38758065,0.444,0.368,6.36E-32
660,Dnajc1,9.30E-36,10.42930531,0.395,0.318,2.99E-31
661,Akt3,1.05E-35,10.10514207,0.724,0.688,3.38E-31
662,Mical2,1.36E-35,28.9120701,0.338,0.268,4.38E-31
663,Qk,1.71E-35,2.226461974,0.415,0.326,5.51E-31
665,Zfp280d,4.55E-35,2.040885856,0.472,0.391,1.46E-30
666,N4bp2l2,5.82E-35,2.863666162,0.32,0.246,1.87E-30
667,Atp2b2,8.38E-35,8.880603737,0.484,0.417,2.69E-30
668,Prpf40a,1.05E-34,1.203060262,0.327,0.25,3.39E-30
672,Apba2,2.27E-34,14.53005232,0.431,0.358,7.32E-30
673,Pcmtd1,2.98E-34,3.062789266,0.308,0.234,9.58E-30
674,Csnk1g3,5.24E-34,0.778504433,0.305,0.231,1.69E-29
675,Nsd3,5.82E-34,2.513650162,0.476,0.402,1.87E-29
676,Fyn,7.30E-34,11.03085711,0.345,0.267,2.35E-29
677,Auts2,8.64E-34,67.14772891,0.827,0.817,2.78E-29
678,Tmem108,1.30E-33,69.6710194,0.5,0.596,4.18E-29
679,Pkia,1.91E-33,1.127772522,0.332,0.258,6.15E-29
680,Nrxn3,3.64E-33,130.6263208,0.859,0.904,1.17E-28
681,Arhgap5,3.72E-33,9.501399607,0.335,0.256,1.20E-28
683,Top1,5.20E-33,2.692258169,0.346,0.272,1.67E-28
684,Rabgap1l,6.59E-33,20.87511729,0.672,0.611,2.12E-28
685,Trps1,6.90E-33,35.85134615,0.325,0.252,2.22E-28
686,Taok1,9.66E-33,0.519523626,0.32,0.246,3.11E-28
687,Fgf14,1.09E-32,81.57468939,0.891,0.914,3.49E-28
690,Pura,4.10E-32,2.044547637,0.304,0.233,1.32E-27
691,Rasa1,4.77E-32,1.900166264,0.354,0.281,1.54E-27
692,Nrxn1,8.09E-32,169.5790869,0.898,0.899,2.60E-27
693,Cnot4,8.11E-32,0.849578576,0.413,0.335,2.61E-27
694,Fam168a,8.84E-32,4.772075584,0.463,0.392,2.84E-27
697,Chchd3,3.61E-31,0.816045152,0.343,0.269,1.16E-26
699,Zfp608,5.85E-31,3.267214072,0.308,0.235,1.88E-26
701,Tmem178,1.78E-30,2.184034396,0.246,0.321,5.71E-26
702,Ehmt1,1.78E-30,0.859853425,0.35,0.276,5.71E-26
705,Erc1,3.14E-30,1.580600091,0.507,0.574,1.01E-25
707,Htt,4.35E-30,1.729880331,0.329,0.259,1.40E-25
708,Med13,4.61E-30,2.556774023,0.339,0.266,1.48E-25
709,Arpp21,1.16E-29,25.30957399,0.54,0.536,3.74E-25
710,Phlpp1,1.39E-29,43.60189887,0.396,0.308,4.46E-25
711,Wdr33,1.68E-29,3.268336366,0.435,0.363,5.42E-25
713,Fmnl2,9.72E-29,21.93075403,0.484,0.407,3.13E-24
714,Ambra1,1.06E-28,3.746932968,0.469,0.404,3.41E-24
715,Specc1,1.15E-28,22.41870351,0.542,0.61,3.71E-24
716,Pum1,1.42E-28,1.572870942,0.342,0.274,4.57E-24
717,Syn2,1.54E-28,11.81102256,0.502,0.44,4.96E-24
718,Taf15,1.85E-28,0.597773363,0.315,0.246,5.95E-24
720,Itsn1,1.02E-27,2.088181086,0.348,0.281,3.27E-23
721,Spire1,1.21E-27,23.74930202,0.351,0.283,3.90E-23
722,Ntrk3,1.33E-27,15.02605244,0.61,0.694,4.29E-23
723,Asph,1.49E-27,8.388018571,0.353,0.421,4.80E-23
725,Rb1cc1,2.24E-27,5.262118291,0.369,0.302,7.22E-23
727,Cstf3,2.77E-27,6.633978823,0.32,0.253,8.90E-23
729,Lyst,6.43E-27,4.642597399,0.338,0.273,2.07E-22
730,Rptor,7.00E-27,1.183799675,0.331,0.263,2.25E-22
731,Fut8,7.23E-27,1.943144401,0.508,0.571,2.33E-22
732,Ube2w,8.27E-27,1.812705378,0.301,0.236,2.66E-22
734,Plcl2,1.94E-26,3.832977854,0.324,0.26,6.22E-22
736,Mtmr3,3.72E-26,2.801173,0.37,0.303,1.20E-21
738,Dtna,7.10E-26,8.90519149,0.509,0.437,2.28E-21
739,Maml3,1.14E-25,11.32305098,0.38,0.456,3.68E-21
741,Fam135a,3.02E-25,1.862824215,0.323,0.256,9.72E-21
742,Qrich1,4.87E-25,3.294390825,0.309,0.246,1.57E-20
745,Fam193a,1.03E-24,1.966287256,0.382,0.319,3.30E-20
746,Cpeb2,1.34E-24,4.253827968,0.311,0.247,4.31E-20
747,Prpf39,1.47E-24,0.665850692,0.319,0.255,4.72E-20
748,Dnm1l,1.55E-24,1.011126679,0.313,0.252,4.99E-20
749,Ncam1,2.33E-24,12.39509791,0.669,0.62,7.49E-20
750,Galnt7,3.81E-24,1.590892726,0.287,0.349,1.23E-19
751,Rbfox3,7.86E-24,11.78636076,0.585,0.649,2.53E-19
752,Map4,9.16E-24,7.956814808,0.314,0.247,2.95E-19
