"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"317","Kif21a",7.95798931073119e-93,-4.31084315640786,0.475,0.347,2.56008516126222e-88
"326","Itm2b",7.01667666862397e-91,-1.34840059120196,0.31,0.439,2.25726488429633e-86
"333","Srpk2",2.88020267355403e-89,-5.31680717251153,0.47,0.351,9.26561200082331e-85
"339","Arl15",2.20423669690351e-88,-26.5572448303526,0.476,0.354,7.09102945393859e-84
"342","Slc4a4",7.93740599074798e-88,-15.085765219373,0.421,0.574,2.55346350722362e-83
"344","Cntn6",1.2067589647627e-87,-4.98335508242134,0.449,0.589,3.8821435896416e-83
"347","Trpm3",3.77356171905863e-87,-71.3509849490313,0.646,0.789,1.21395480502116e-82
"348","Srrm1",1.73766503761833e-86,-1.3739842087987,0.378,0.254,5.59006842601818e-82
"356","Nfia",1.17039149907426e-84,-11.0744107466447,0.48,0.629,3.7651494525219e-80
"357","Vwa8",1.30670975286669e-84,-6.9492172173473,0.338,0.217,4.20368527497213e-80
"371","Ptprs",2.03147208693643e-81,-5.36446683814599,0.402,0.286,6.5352457036745e-77
"380","Lrba",5.19119445586339e-80,-4.79476901297779,0.518,0.396,1.67000725645125e-75
"385","Patj",8.80671355905102e-79,-2.71212526328129,0.285,0.401,2.83311975194671e-74
"386","Peg3",1.13471562886914e-78,-2.0944370551626,0.445,0.331,3.65038017807202e-74
"387","Scmh1",1.47472172593762e-78,-2.8268875741754,0.381,0.26,4.74417979234131e-74
"388","Ccser1",1.67647048458417e-78,-15.0858783543617,0.79,0.751,5.39320554890728e-74
"390","Exoc4",4.10869159132204e-78,-7.26054352644752,0.61,0.499,1.3217660849283e-73
"391","Cdh2",1.20940251693595e-77,-10.5661347021272,0.449,0.333,3.89064789698296e-73
"399","Tmem132a",1.21778995820099e-75,-1.62748794502589,0.21,0.321,3.9176302955326e-71
"403","Cask",4.63438378384052e-75,-14.4960808194945,0.397,0.28,1.49088126326149e-70
"404","A230057D06Rik",5.65438169463726e-75,-16.6267705339684,0.731,0.674,1.81901459116481e-70
"408","Zmym4",1.88383830104391e-74,-4.50821221877395,0.456,0.338,6.06030781445825e-70
"414","Foxp1",2.57340128446905e-73,-10.7577272902367,0.504,0.404,8.27863193213694e-69
"418","Ckb",5.20075704786167e-72,-4.24905570452031,0.211,0.317,1.6730835422971e-67
"421","Plcb4",3.25524948187978e-71,-5.72388472141528,0.528,0.636,1.04721375832073e-66
"429","Bclaf1",4.78530849005836e-69,-1.46630942085221,0.405,0.292,1.53943374125177e-64
"441","Camta1",2.82323214089479e-67,-10.4436978986564,0.597,0.512,9.08233779725855e-63
"461","Grid2",4.61275404392204e-63,-Inf,0.759,0.712,1.48392297592972e-58
"475","Ago3",2.16342960399806e-60,-2.97966163736539,0.42,0.314,6.95975303606175e-56
"479","Epb41",5.76296132211595e-60,-6.16723760773707,0.427,0.534,1.8539446573247e-55
"481","Birc6",7.90023492222529e-60,-1.53680312498457,0.529,0.433,2.54150557447988e-55
"484","Ncoa2",2.25318886290991e-59,-0.963343872992706,0.433,0.327,7.24850857198117e-55
"486","Slc25a12",2.94238233508926e-59,-1.16073916039786,0.312,0.212,9.46564397198214e-55
"487","Tsc22d1",1.41160064844773e-58,-3.34646866029916,0.334,0.235,4.54111928605635e-54
"488","Ppfia2",1.43539625524744e-58,-41.4777872522365,0.641,0.572,4.61766975313103e-54
"491","Pcsk1n",2.18873375030485e-58,-9.74100160934614,0.226,0.325,7.04115647473072e-54
